,FID,T7590,T9000,T0015
573,573,9,6,2
574,574,6,3,2
575,575,6,5,5
576,576,9,6,6
577,577,5,5,2
578,578,6,3,5
579,579,2,2,1
580,580,5,2,2
581,581,9,3,5
582,582,5,2,2
583,583,6,5,5
584,584,9,6,6
585,585,9,3,5
586,586,9,3,5
587,587,6,5,5
588,588,9,3,5
589,589,3,2,2
590,590,9,3,2
591,591,3,2,2
592,592,9,6,6
593,593,6,2,2
594,594,2,2,1
595,595,2,2,1
596,596,9,6,6
597,597,2,5,2
598,598,6,6,5
599,599,6,2,2
600,600,3,2,2
601,601,9,2,2
602,602,6,2,2
603,603,5,2,2
604,604,6,3,2
605,605,9,3,5
606,606,9,6,6
607,607,6,3,2
608,608,6,2,2
609,609,6,2,2
610,610,5,2,2
611,611,5,2,1
612,612,9,3,5
613,613,6,3,2
614,614,6,3,2
615,615,6,6,5
616,616,6,2,2
617,617,9,3,2
618,618,6,2,2
619,619,5,5,2
620,620,6,3,2
621,621,6,2,2
622,622,9,3,5
623,623,9,3,6
624,624,6,2,2
625,625,6,5,5
626,626,6,5,5
627,627,2,2,2
628,628,6,6,5
629,629,6,2,5
630,630,6,6,5
631,631,5,2,2
632,632,6,2,2
633,633,5,2,2
634,634,6,6,5
635,635,9,6,6
636,636,9,5,2
637,637,9,9,6
638,638,3,2,2
639,639,9,9,9
640,640,5,5,9
641,641,6,5,5
642,642,9,3,9
643,643,9,6,9
644,644,9,6,9
645,645,5,6,5
646,646,9,6,9
647,647,9,6,9
648,648,3,3,6
649,649,9,3,6
650,650,6,6,9
651,651,9,3,9
652,652,9,6,9
653,653,6,3,3
654,654,6,3,6
655,655,9,6,9
656,656,3,6,6
657,657,3,3,9
658,658,6,6,5
659,659,6,6,5
660,660,6,3,6
661,661,9,9,9
662,662,9,9,9
663,663,9,9,9
664,664,9,9,9
665,665,9,9,9
666,666,3,3,3
667,667,3,3,3
668,668,6,6,6
669,669,6,6,5
670,670,3,3,6
671,671,6,6,6
672,672,6,6,6
673,673,3,6,6
674,674,6,6,6
675,675,2,2,2
676,676,6,6,6
677,677,2,1,2
678,678,5,2,5
679,679,9,9,2
680,680,2,2,2
681,681,9,9,3
682,682,5,5,1
683,683,5,9,2
684,684,9,9,3
685,685,9,9,2
686,686,9,9,3
687,687,2,2,2
688,688,2,2,3
689,689,5,5,1
690,690,5,9,2
691,691,9,9,3
692,692,9,9,3
693,693,9,9,6
694,694,2,2,1
695,695,9,9,2
696,696,9,9,2
697,697,9,9,6
698,698,9,9,6
699,699,9,9,3
700,700,9,9,6
701,701,2,2,3
702,702,5,5,1
703,703,9,9,9
704,704,1,1,1
705,705,9,6,5
706,706,9,9,9
707,707,6,5,1
708,708,9,9,5
709,709,2,2,1
710,710,2,2,1
711,711,2,2,1
712,712,6,6,6
713,713,9,9,9
714,714,6,6,6
715,715,9,6,6
716,716,9,6,6
717,717,6,3,6
718,718,5,5,2
719,719,1,1,1
720,720,1,1,1
721,721,9,9,6
722,722,5,5,5
723,723,9,5,5
724,724,5,1,2
725,725,5,5,5
726,726,9,3,6
727,727,9,2,2
728,728,9,6,6
729,729,9,5,5
730,730,9,9,9
731,731,9,5,5
732,732,5,2,5
733,733,9,3,6
734,734,9,2,5
735,735,9,3,5
736,736,1,1,1
737,737,9,3,5
738,738,9,9,9
739,739,1,1,1
740,740,5,1,1
741,741,5,1,1
742,742,2,2,2
743,743,2,1,1
744,744,2,2,1
745,745,5,2,5
746,746,9,6,9
747,747,9,2,5
748,748,5,2,5
749,749,5,5,5
750,750,6,2,5
751,751,9,9,9
752,752,9,6,9
753,753,1,1,1
754,754,9,9,9
755,755,9,9,6
756,756,6,6,6
757,757,5,6,5
758,758,6,5,5
759,759,6,6,6
760,760,6,6,6
761,761,5,6,5
762,762,6,6,5
763,763,6,6,9
764,764,9,3,6
765,765,6,6,9
766,766,3,3,6
767,767,6,3,9
768,768,9,3,9
769,769,9,3,9
770,770,9,9,9
771,771,9,9,9
772,772,6,3,9
773,773,6,6,5
