a_code,Period,POP_NEW,BPC_NEW
BFA,00-15,0.999955924,-0.734158661
BGD,00-15,0.978098494,-0.557892586
BIH,00-15,0.390916644,0.801864206
CHL,00-15,0.903794339,-0.361060786
CHN,00-15,0.805914714,0.889942649
CIV,00-15,0.998798889,-0.920342399
CMR,00-15,0.983638775,-0.866090855
ESP,00-15,0.928296407,0.159664012
ETH,00-15,0.999992782,0.315960719
FIN,00-15,0.507534731,0.974190604
FRA,00-15,0.942037671,0.870683393
GBR,00-15,0.983305868,-0.134943475
GIN,00-15,0.954081918,-0.729737408
GRC,00-15,0.378324141,0.967997396
HTI,00-15,0.998734457,-0.866383571
IDN,00-15,0.917901883,-0.081534202
IND,00-15,0.996247351,0.518791107
ITA,00-15,0.781497354,0.58276153
MAR,00-15,0.967971618,-0.095103216
MDG,00-15,0.997072087,-0.951255935
MLI,00-15,0.999904909,-0.919692358
MMR,00-15,0.923437886,-0.438951991
NER,00-15,0.999933165,-0.905800036
NPL,00-15,0.905520668,0.407974976
PAK,00-15,0.999694684,0.871501505
RWA,00-15,0.967653855,-0.44075335
SDN,00-15,0.990656582,-0.462185797
SEN,00-15,0.986783609,-0.649557908
SLE,00-15,0.999806356,-0.677844633
SSD,00-15,0.998690462,-0.787566083
TCD,00-15,0.998177205,-0.978920669
TZA,00-15,0.999623849,-0.946126534
UGA,00-15,0.998929944,-0.918587714
ZAF,00-15,0.962838052,-0.632389854
